Factor,OOS Mean IC,Std IC,ICIR,t-stat,p-value,Significant?,N_months,IC_AC1
BM,0.04351557107437118,0.18423457049079656,0.23619655615364002,1.1809827807682,0.24918123588223073,,25,0.030452459714275168
IdioVol3F,0.013702692806919107,0.10097528991831481,0.13570342623431997,0.9303358183534994,0.35705413616848247,,47,-0.20327818967398886
beta_hml,0.023122714802627106,0.2509834844161315,0.09212843170305805,0.6316007066328034,0.530774218276473,,47,0.01960820178488652
beta_mktrf,0.021524826679961653,0.24989724668849403,0.08613470922628103,0.5905098155613598,0.5577390846344779,,47,-0.12615802134601864
beta_mom,0.014110072867495773,0.19561035501689342,0.07213356811441393,0.49452282808692394,0.6232906081435234,,47,0.0040261806161245315
SKEW,0.004026897868501737,0.06939879609815272,0.0580254715486185,0.39780259096272635,0.6926158639450595,,47,-0.0677814447528775
resid_signal,0.0067009994198141,0.1488564766354841,0.04501651235655224,0.30861766003120783,0.7590057673915269,,47,-0.0269596674550962
beta_smb,-0.009953574269977778,0.22986727939090254,-0.043301396772748815,-0.2968594199888863,0.7679101922949336,,47,-0.19174772662623096
AIV,-0.009139263307334852,0.2305151926801969,-0.03964711913810438,-0.2718069547117935,0.7869866876341334,,47,-0.21618713350184862
Mom12m,-0.005015685283764967,0.15299529394301686,-0.03278326512208317,-0.22475074235037654,0.8231685909087068,,47,-0.011812647309921272
GLB,-0.0011739482090131234,0.1936554154727872,-0.006062046889559299,-0.036372281337355795,0.9711921771540701,,36,-0.10809502017826839
